feature,importance
Foundation_Slab,5.16855471099336e-05
RoofMatl_Tar&Grv,4.846794402847311e-05
Heating_Grav,4.744788990720427e-05
SaleType_COD,4.421723847144421e-05
BldgType_2fmCon,4.394698910591827e-05
Exterior2nd_AsbShng,3.9394299564687234e-05
PoolArea,3.551333893300123e-05
Condition1_RRAn,3.539427404885789e-05
MSZoning_RH,3.2096162666787117e-05
GarageType_Basment,2.980234832051655e-05
Exterior1st_AsbShng,2.892999700375978e-05
Neighborhood_NPkVill,2.6952929922530397e-05
Condition1_RRAe,2.0539639872849403e-05
Neighborhood_BrDale,1.902747884507081e-05
MasVnrType_BrkCmn,1.4763252982320357e-05
HouseStyle_2.5Unf,1.2524443069985819e-05
Exterior1st_WdShing,1.245130259144279e-05
Condition2_Norm,9.994342685849942e-06
Exterior2nd_Stone,8.454586637260913e-06
Exterior2nd_Brk Cmn,7.983401165006124e-06
SaleType_ConLD,7.645004861688382e-06
RoofStyle_Mansard,7.039753980188616e-06
RoofMatl_WdShngl,5.727043239556407e-06
Heating_Wall,5.546152128240947e-06
HouseStyle_1.5Unf,3.2322216783906302e-06
Exterior1st_BrkComm,2.907101531097425e-06
Condition2_Feedr,2.6874071064809813e-06
RoofMatl_WdShake,2.3835255895431274e-06
HouseStyle_2.5Fin,1.9704348571899572e-06
Foundation_Stone,1.77915183151083e-06
Heating_OthW,1.6971744054679637e-06
Condition1_RRNn,1.6559028466983766e-06
Fence_MnWw,1.6369702592001742e-06
Neighborhood_Blueste,1.3121142122822352e-06
SaleCondition_AdjLand,9.215310348650074e-07
Foundation_Wood,7.682203316766495e-07
Exterior2nd_ImStucc,6.93276700797981e-07
Utilities,0.0
PoolQC,0.0
LotConfig_FR3,0.0
Exterior2nd_AsphShn,0.0
Exterior1st_CBlock,0.0
Exterior1st_ImStucc,0.0
RoofMatl_Roll,0.0
RoofMatl_Metal,0.0
RoofMatl_Membran,0.0
Exterior1st_AsphShn,0.0
RoofMatl_ClyTile,0.0
RoofStyle_Shed,0.0
Condition1_RRNe,0.0
Condition2_Artery,0.0
Condition2_PosN,0.0
Condition2_RRAn,0.0
Condition2_RRNn,0.0
Condition2_RRAe,0.0
Condition2_PosA,0.0
Exterior1st_Stone,0.0
Exterior2nd_Other,0.0
Exterior2nd_CBlock,0.0
Heating_Floor,0.0
Electrical_FuseP,0.0
MiscFeature_Gar2,0.0
Electrical_Mix,0.0
MiscFeature_Shed,0.0
MiscFeature_Othr,0.0
SaleType_ConLw,0.0
SaleType_Con,0.0
MiscFeature_TenC,0.0
SaleType_ConLI,0.0
SaleType_CWD,0.0
SaleType_Oth,0.0
